geoid,name,B01003001,"B01003001, Error"
14000US47037011001,"Census Tract 110.01, Davidson, TN",7157,996
14000US47037011002,"Census Tract 110.02, Davidson, TN",2731,480
14000US47037011100,"Census Tract 111, Davidson, TN",4336,519
14000US47037011200,"Census Tract 112, Davidson, TN",4792,624
14000US47037011300,"Census Tract 113, Davidson, TN",5817,1053
14000US47037011400,"Census Tract 114, Davidson, TN",5215,748
14000US47037011500,"Census Tract 115, Davidson, TN",3853,449
14000US47037011600,"Census Tract 116, Davidson, TN",5326,645
14000US47037011700,"Census Tract 117, Davidson, TN",6054,895
14000US47037011800,"Census Tract 118, Davidson, TN",2808,488
14000US47037011900,"Census Tract 119, Davidson, TN",2876,647
14000US47037012100,"Census Tract 121, Davidson, TN",2860,364
14000US47037012200,"Census Tract 122, Davidson, TN",2170,342
14000US47037012600,"Census Tract 126, Davidson, TN",2057,466
14000US47037012701,"Census Tract 127.01, Davidson, TN",5350,931
14000US47037012702,"Census Tract 127.02, Davidson, TN",3101,555
14000US47037012801,"Census Tract 128.01, Davidson, TN",5488,976
14000US47037012802,"Census Tract 128.02, Davidson, TN",3906,488
14000US47037013001,"Census Tract 130.01, Davidson, TN",288,111
14000US47037013002,"Census Tract 130.02, Davidson, TN",659,520
14000US47037013100,"Census Tract 131, Davidson, TN",2320,413
14000US47037013201,"Census Tract 132.01, Davidson, TN",3082,482
14000US47037013202,"Census Tract 132.02, Davidson, TN",3675,693
14000US47037013300,"Census Tract 133, Davidson, TN",4427,850
14000US47037013400,"Census Tract 134, Davidson, TN",4576,913
14000US47037013500,"Census Tract 135, Davidson, TN",2129,261
14000US47037013600,"Census Tract 136, Davidson, TN",5159,622
14000US47037013701,"Census Tract 137.01, Davidson, TN",3458,599
14000US47037013702,"Census Tract 137.02, Davidson, TN",3281,656
14000US47037013800,"Census Tract 138, Davidson, TN",1835,509
14000US47037013900,"Census Tract 139, Davidson, TN",1624,389
14000US47037014200,"Census Tract 142, Davidson, TN",2199,334
14000US47037014300,"Census Tract 143, Davidson, TN",1647,346
14000US47037014400,"Census Tract 144, Davidson, TN",2673,324
14000US47037014800,"Census Tract 148, Davidson, TN",1709,502
14000US47037015100,"Census Tract 151, Davidson, TN",3917,611
14000US47037015200,"Census Tract 152, Davidson, TN",2271,347
14000US47037015300,"Census Tract 153, Davidson, TN",6334,915
14000US47037015401,"Census Tract 154.01, Davidson, TN",6248,1445
14000US47037015402,"Census Tract 154.02, Davidson, TN",4920,601
14000US47037015404,"Census Tract 154.04, Davidson, TN",2871,377
14000US47037015405,"Census Tract 154.05, Davidson, TN",4503,631
14000US47037015501,"Census Tract 155.01, Davidson, TN",3371,532
14000US47037015502,"Census Tract 155.02, Davidson, TN",3636,498
14000US47037015609,"Census Tract 156.09, Davidson, TN",4133,400
14000US47037015613,"Census Tract 156.13, Davidson, TN",5615,713
14000US47037015614,"Census Tract 156.14, Davidson, TN",4003,455
14000US47037015615,"Census Tract 156.15, Davidson, TN",6267,1127
14000US47037015617,"Census Tract 156.17, Davidson, TN",2691,324
14000US47037015618,"Census Tract 156.18, Davidson, TN",7215,1171
14000US47037015619,"Census Tract 156.19, Davidson, TN",5782,930
14000US47037015620,"Census Tract 156.20, Davidson, TN",7348,836
14000US47037015622,"Census Tract 156.22, Davidson, TN",3453,397
14000US47037015623,"Census Tract 156.23, Davidson, TN",5753,1089
14000US47037015624,"Census Tract 156.24, Davidson, TN",5699,933
14000US47037015625,"Census Tract 156.25, Davidson, TN",6113,943
14000US47037015626,"Census Tract 156.26, Davidson, TN",7133,1228
14000US47037015627,"Census Tract 156.27, Davidson, TN",3791,784
14000US47037015628,"Census Tract 156.28, Davidson, TN",4209,990
14000US47037015629,"Census Tract 156.29, Davidson, TN",6147,864
14000US47037015630,"Census Tract 156.30, Davidson, TN",5074,561
14000US47037015632,"Census Tract 156.32, Davidson, TN",3811,718
14000US47037015633,"Census Tract 156.33, Davidson, TN",4516,415
14000US47037015634,"Census Tract 156.34, Davidson, TN",12026,1961
14000US47037015635,"Census Tract 156.35, Davidson, TN",3406,1285
14000US47037015636,"Census Tract 156.36, Davidson, TN",3695,898
14000US47037015637,"Census Tract 156.37, Davidson, TN",3540,802
14000US47037015700,"Census Tract 157, Davidson, TN",1771,328
14000US47037015804,"Census Tract 158.04, Davidson, TN",4906,964
14000US47037015805,"Census Tract 158.05, Davidson, TN",3345,424
14000US47037015806,"Census Tract 158.06, Davidson, TN",4325,714
14000US47037015900,"Census Tract 159, Davidson, TN",2884,398
14000US47037016000,"Census Tract 160, Davidson, TN",2708,417
14000US47037016100,"Census Tract 161, Davidson, TN",2186,366
14000US47037016200,"Census Tract 162, Davidson, TN",3409,728
14000US47037016300,"Census Tract 163, Davidson, TN",2422,498
14000US47037016400,"Census Tract 164, Davidson, TN",4316,409
14000US47037016500,"Census Tract 165, Davidson, TN",4619,547
14000US47037016600,"Census Tract 166, Davidson, TN",3576,513
14000US47037016700,"Census Tract 167, Davidson, TN",5451,660
14000US47037016800,"Census Tract 168, Davidson, TN",4515,976
14000US47037016900,"Census Tract 169, Davidson, TN",5357,710
14000US47037017000,"Census Tract 170, Davidson, TN",3932,719
14000US47037017100,"Census Tract 171, Davidson, TN",3649,420
14000US47037017200,"Census Tract 172, Davidson, TN",1379,192
14000US47037017300,"Census Tract 173, Davidson, TN",3148,604
14000US47037017401,"Census Tract 174.01, Davidson, TN",2037,357
14000US47037017402,"Census Tract 174.02, Davidson, TN",5265,849
14000US47037017500,"Census Tract 175, Davidson, TN",2862,570
14000US47037017701,"Census Tract 177.01, Davidson, TN",2511,208
14000US47037017702,"Census Tract 177.02, Davidson, TN",5763,677
14000US47037017800,"Census Tract 178, Davidson, TN",5875,798
14000US47037017901,"Census Tract 179.01, Davidson, TN",5563,645
14000US47037017902,"Census Tract 179.02, Davidson, TN",5079,592
14000US47037018000,"Census Tract 180, Davidson, TN",5080,634
14000US47037018101,"Census Tract 181.01, Davidson, TN",4476,584
14000US47037018102,"Census Tract 181.02, Davidson, TN",3915,538
14000US47037018201,"Census Tract 182.01, Davidson, TN",3398,643
14000US47037018203,"Census Tract 182.03, Davidson, TN",1378,176
14000US47037018204,"Census Tract 182.04, Davidson, TN",3507,708
14000US47037018205,"Census Tract 182.05, Davidson, TN",3969,576
14000US47037018302,"Census Tract 183.02, Davidson, TN",2901,443
14000US47037018303,"Census Tract 183.03, Davidson, TN",4049,690
14000US47037018304,"Census Tract 183.04, Davidson, TN",4342,718
14000US47037018404,"Census Tract 184.04, Davidson, TN",4433,585
14000US47037018405,"Census Tract 184.05, Davidson, TN",4791,545
14000US47037018407,"Census Tract 184.07, Davidson, TN",5988,756
14000US47037018408,"Census Tract 184.08, Davidson, TN",3676,435
14000US47037018409,"Census Tract 184.09, Davidson, TN",4476,940
14000US47037018410,"Census Tract 184.10, Davidson, TN",3370,345
14000US47037018411,"Census Tract 184.11, Davidson, TN",3380,573
14000US47037018412,"Census Tract 184.12, Davidson, TN",4006,701
14000US47037018500,"Census Tract 185, Davidson, TN",5205,443
14000US47037018601,"Census Tract 186.01, Davidson, TN",2354,237
14000US47037018602,"Census Tract 186.02, Davidson, TN",4375,280
14000US47037018700,"Census Tract 187, Davidson, TN",3618,350
14000US47037018801,"Census Tract 188.01, Davidson, TN",5464,483
14000US47037018803,"Census Tract 188.03, Davidson, TN",3634,425
14000US47037018804,"Census Tract 188.04, Davidson, TN",5562,923
14000US47037018901,"Census Tract 189.01, Davidson, TN",3168,547
14000US47037018902,"Census Tract 189.02, Davidson, TN",2639,450
14000US47037018904,"Census Tract 189.04, Davidson, TN",3318,572
14000US47037018905,"Census Tract 189.05, Davidson, TN",2960,634
14000US47037019003,"Census Tract 190.03, Davidson, TN",3939,620
14000US47037019004,"Census Tract 190.04, Davidson, TN",4723,822
14000US47037019007,"Census Tract 190.07, Davidson, TN",2230,530
14000US47037019008,"Census Tract 190.08, Davidson, TN",5169,662
14000US47037019105,"Census Tract 191.05, Davidson, TN",5611,1079
14000US47037019106,"Census Tract 191.06, Davidson, TN",4108,437
14000US47037019108,"Census Tract 191.08, Davidson, TN",3458,573
14000US47037019109,"Census Tract 191.09, Davidson, TN",5727,1209
14000US47037019110,"Census Tract 191.10, Davidson, TN",3630,458
14000US47037019111,"Census Tract 191.11, Davidson, TN",5404,1371
14000US47037019112,"Census Tract 191.12, Davidson, TN",5362,1023
14000US47037019115,"Census Tract 191.15, Davidson, TN",3511,423
14000US47037019116,"Census Tract 191.16, Davidson, TN",7658,1578
14000US47037019117,"Census Tract 191.17, Davidson, TN",5347,510
14000US47037019118,"Census Tract 191.18, Davidson, TN",5058,633
14000US47037019119,"Census Tract 191.19, Davidson, TN",8880,1996
14000US47037019120,"Census Tract 191.20, Davidson, TN",4216,1004
14000US47037019121,"Census Tract 191.21, Davidson, TN",4103,786
14000US47037019200,"Census Tract 192, Davidson, TN",3776,592
14000US47037019300,"Census Tract 193, Davidson, TN",3977,603
14000US47037019401,"Census Tract 194.01, Davidson, TN",2716,441
14000US47037019402,"Census Tract 194.02, Davidson, TN",4157,595
14000US47037019501,"Census Tract 195.01, Davidson, TN",2475,671
14000US47037019502,"Census Tract 195.02, Davidson, TN",3327,792
14000US47037019503,"Census Tract 195.03, Davidson, TN",3259,611
14000US47037019600,"Census Tract 196, Davidson, TN",3561,521
14000US47037980100,"Census Tract 9801, Davidson, TN",0,13
14000US47037980200,"Census Tract 9802, Davidson, TN",0,13
14000US47039955001,"Census Tract 9550.01, Decatur, TN",1786,310
14000US47039955003,"Census Tract 9550.03, Decatur, TN",2448,353
14000US47039955004,"Census Tract 9550.04, Decatur, TN",2209,396
14000US47039955101,"Census Tract 9551.01, Decatur, TN",1851,269
14000US47039955102,"Census Tract 9551.02, Decatur, TN",3166,414
14000US47041920101,"Census Tract 9201.01, DeKalb, TN",2885,457
14000US47041920102,"Census Tract 9201.02, DeKalb, TN",4586,391
14000US47041920201,"Census Tract 9202.01, DeKalb, TN",4919,440
14000US47041920202,"Census Tract 9202.02, DeKalb, TN",1974,334
14000US47041920300,"Census Tract 9203, DeKalb, TN",5511,658
14000US47043060100,"Census Tract 601, Dickson, TN",3975,593
